atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
132553,Jemmes,Mirassol,2305,Zagueiro,3,Provável,0,5.54,-0.39,4.5,31,Santos,277,-1,4.5,3,3,3.3347663586324408,0.2656212877167973,0.8122743682310469
132071,Serna,Fluminense,266,Atacante,5,Provável,0,7.05,-0.48,4.47,27,Flamengo,262,1,4.47,4,5,4.143518606057712,0.4283571588069989,0.6340425531914894
37281,Mano Menezes,Grêmio,284,Técnico,6,Provável,0,9.46,0.12,5.11,27,Vasco,267,1,5.11,3,3,2.6021698032082887,0.4810982048574446,0.540169133192389
136306,Luis Otávio,Internacional,285,Meia,4,Provável,0,2.42,-0.26,1.8,17,Ceará,354,-1,1.8,2,2,2.0895573693966867,0.2838847385272145,0.7438016528925621
139076,Filipe Luís,Flamengo,262,Técnico,6,Provável,0,12.52,0.25,6.9,32,Fluminense,266,-1,6.9,2,2,3.1626798367839895,0.3099376029593303,0.5511182108626198
140492,João Victor,Flamengo,262,Zagueiro,3,Provável,0,3.63,0.0,4.7,1,Fluminense,266,-1,4.7,2,2,2.0,0.3099376029593303,1.2947658402203857
37457,Léo Condé,Ceará,354,Técnico,6,Provável,0,8.98,0.65,5.34,30,Internacional,285,1,5.34,4,3,2.8220970603758158,0.4123087869085734,0.5946547884187082
141763,Fabiano Souza,Ceará,354,Lateral,2,Provável,0,7.58,1.02,4.13,27,Internacional,285,1,4.13,4,3,3.1963921969813214,0.4123087869085734,0.5448548812664907
142004,Amuzu,Grêmio,284,Atacante,5,Provável,0,5.18,0.21,3.14,19,Vasco,267,1,3.14,3,3,3.6522763869972303,0.4810982048574446,0.6061776061776062
142279,Nuno Moreira,Vasco,267,Atacante,5,Provável,0,8.07,0.58,4.49,29,Grêmio,284,-1,4.49,2,3,4.326527749192419,0.2575290390707497,0.5563816604708798
143194,Martín Palermo,Fortaleza,356,Técnico,6,Provável,0,10.48,0.07,5.35,11,Bahia,265,-1,5.35,3,4,2.649019029411042,0.2163943305949264,0.5104961832061068
37656,Fábio,Fluminense,266,Goleiro,1,Provável,0,9.53,0.53,3.98,31,Flamengo,262,1,3.98,4,5,3.7969285832981723,0.4283571588069989,0.4176285414480588
38913,Nenê,Juventude,286,Meia,4,Provável,0,5.76,1.42,2.97,19,Cruzeiro,283,1,2.97,4,3,3.9633481622197606,0.5160341688839098,0.515625
37715,Thiago Silva,Fluminense,266,Zagueiro,3,Provável,0,8.78,-0.03,3.93,20,Flamengo,262,1,3.93,4,5,3.7268972561495084,0.4283571588069989,0.4476082004555809
42234,Cássio,Cruzeiro,283,Goleiro,1,Provável,0,10.75,-0.38,5.85,31,Juventude,286,-1,5.85,2,2,4.198322757780138,0.25878728469402046,0.5441860465116278
40990,Dorival Júnior,Corinthians,264,Técnico,6,Provável,0,9.9,-0.01,5.27,27,São Paulo,276,1,5.27,4,3,2.1450085716581118,0.3928095872170439,0.5323232323232323
51413,Walter,Mirassol,2305,Goleiro,1,Provável,0,10.53,0.13,6.58,24,Santos,277,-1,6.58,3,3,4.653405718676236,0.2656212877167973,0.6248812915479582
63013,Marcos Rocha,Grêmio,284,Lateral,2,Provável,0,9.61,0.0,6.43,7,Vasco,267,1,6.43,3,3,4.077464197968424,0.4810982048574446,0.6690946930280958
51772,Everton Ribeiro,Bahia,265,Meia,4,Provável,0,7.76,0.31,4.06,25,Fortaleza,356,1,4.06,4,4,3.253341871573495,0.6138846258012097,0.5231958762886597
63007,Neymar,Santos,277,Meia,4,Provável,0,13.67,-1.11,4.88,15,Mirassol,2305,1,4.88,2,2,5.376651462795497,0.22475647422190545,0.35698610095098754
68685,Alan Patrick,Internacional,285,Meia,4,Provável,0,12.52,-0.23,5.94,25,Ceará,354,-1,5.94,2,2,4.9799364119099625,0.2838847385272145,0.47444089456869015
68708,Eduardo,Cruzeiro,283,Meia,4,Provável,0,3.08,-0.18,1.28,26,Juventude,286,-1,1.28,2,2,3.1272597983144674,0.25878728469402046,0.41558441558441556
68899,Philippe Coutinho,Vasco,267,Meia,4,Provável,0,9.59,0.48,4.44,25,Grêmio,284,-1,4.44,2,3,4.063557554655772,0.2575290390707497,0.46298227320125135
68928,Rafael,São Paulo,276,Goleiro,1,Provável,0,9.23,0.15,4.98,30,Corinthians,264,-1,4.98,3,2,4.466046877568984,0.31424766977363516,0.5395449620801733
