Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Agustín Rossi,ar ARG,GK,30-098,36.0,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Léo Pereira,br BRA,DF,29-300,33.0,32,2863.0,31.8,4.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,2.8,2.8,0.6,3.5,51.0,186.0,17.0,0.13,0.0,0.13,0.13,0.13,0.09,0.02,0.11,0.09,0.11,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Giorgian De Arrascaeta,uy URU,"MF,FW",31-179,32.0,29,2288.0,25.4,18.0,14.0,32.0,16.0,2.0,3.0,3.0,0.0,9.6,7.3,7.3,14.6,49.0,142.0,215.0,0.71,0.55,1.26,0.63,1.18,0.38,0.29,0.67,0.29,0.58,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Leo Ortiz,br BRA,DF,29-328,26.0,26,2203.0,24.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.4,1.4,1.4,2.7,22.0,167.0,3.0,0.04,0.08,0.12,0.04,0.12,0.06,0.06,0.11,0.06,0.11,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Bruno Henrique,br BRA,"FW,MF",34-332,31.0,19,1727.0,19.2,8.0,0.0,8.0,7.0,1.0,1.0,7.0,0.0,6.9,6.1,1.2,7.3,44.0,36.0,135.0,0.42,0.0,0.42,0.36,0.36,0.36,0.06,0.42,0.32,0.38,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Alex Sandro,br BRA,DF,34-305,19.0,18,1454.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.4,33.0,110.0,42.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.09,0.01,0.09,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Samuel Lino,br BRA,FW,25-339,20.0,18,1332.0,14.8,3.0,5.0,8.0,3.0,0.0,0.0,1.0,0.0,3.7,3.7,2.6,6.3,85.0,53.0,175.0,0.2,0.34,0.54,0.2,0.54,0.25,0.18,0.43,0.25,0.43,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Luiz Araújo,br BRA,"FW,MF",29-178,34.0,15,1750.0,19.4,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,3.5,3.5,4.1,7.7,33.0,92.0,144.0,0.36,0.15,0.51,0.36,0.51,0.18,0.21,0.39,0.18,0.39,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Gonzalo Plata,ec ECU,"FW,MF",25-026,27.0,14,1322.0,14.7,4.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,3.1,3.1,2.1,5.2,33.0,48.0,151.0,0.27,0.07,0.34,0.27,0.34,0.21,0.14,0.35,0.21,0.35,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Jorginho,it ITA,MF,33-342,17.0,14,1273.0,14.1,3.0,1.0,4.0,0.0,3.0,3.0,5.0,0.0,2.8,0.4,0.6,1.0,19.0,141.0,13.0,0.21,0.07,0.28,0.0,0.07,0.2,0.04,0.24,0.03,0.07,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
