time_casa,time_visitante,odd_casa,odd_empate,odd_visitante,rodada_id,ano
Fluminense,Flamengo,2.12,3.47,2.93,34,2025
Grêmio,Vasco,1.82,3.35,3.4,34,2025
Santos,Mirassol,3.9,1.72,3.3,34,2025
Juventude,Cruzeiro,1.68,3.85,3.35,34,2025
Bahia,Fortaleza,1.41,5.1,4.0,34,2025
Corinthians,São Paulo,2.2,2.95,2.75,34,2025
Ceará,Internacional,2.1,2.85,3.05,34,2025
Botafogo,Grêmio,1.56,5.75,4.0,35,2025
Flamengo,Bragantino,8.35,1.24,4.5,35,2025
Palmeiras,Fluminense,6.12,1.61,3.91,35,2025
Bahia,Vasco,1.62,4.55,3.53,35,2025
São Paulo,Juventude,7.5,1.47,4.0,35,2025
Cruzeiro,Corinthians,4.8,1.78,3.4,35,2025
Mirassol,Ceará,5.09,1.75,3.65,35,2025
Internacional,Santos,2.16,3.6,3.31,35,2025
Bragantino,Fortaleza,1.83,4.41,3.81,36,2025
Fluminense,São Paulo,1.79,4.85,3.25,36,2025
Juventude,Bahia,1.94,3.15,3.05,36,2025
Vasco,Internacional,3.4,2.11,3.28,36,2025
Vitória,Mirassol,2.94,2.46,3.08,36,2025
Ceará,Cruzeiro,3.2,2.24,3.2,36,2025
Corinthians,Botafogo,2.95,2.44,3.1,36,2025
Santos,Sport,1.36,4.75,9.0,36,2025
Vasco,Mirassol,3.2,1.92,3.25,37,2025
Grêmio,Fluminense,2.53,3.06,3.22,37,2025
Fortaleza,Corinthians,4.0,1.7,3.05,37,2025
Juventude,Santos,4.84,1.72,3.8,37,2025
São Paulo,Internacional,2.83,2.7,3.09,37,2025
Flamengo,Ceará,10.5,1.22,5.2,37,2025
Cruzeiro,Botafogo,3.85,2.1,3.2,37,2025
Atlético-MG,Vasco,1.55,6.18,4.0,38,2025
Fluminense,Bahia,4.66,1.74,3.76,38,2025
Botafogo,Fortaleza,1.88,3.7,3.7,38,2025
Internacional,Bragantino,4.95,1.69,3.78,38,2025
Ceará,Palmeiras,2.24,3.46,3.14,38,2025
Corinthians,Juventude,1.61,5.64,3.83,38,2025
Santos,Cruzeiro,8.4,1.38,4.6,38,2025
Vitória,São Paulo,3.27,2.32,3.15,38,2025
