aproveitamento_visitante,aproveitamento_mandante,transmissao,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,rodada_id
"['d', 'v', 'e', 'v', 'e']","['e', 'v', 'd', 'v', 'e']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/sp/tem-esporte/futebol/brasileirao-serie-a/jogo/06-12-2025/mirassol-flamengo.ghtml?utm_source=cartolafc'}",Maião,,,,2025-12-06 18:30:00,,3,3,333951,1,262,4,2305,1765056600,26,False,38
"['d', 'v', 'e', 'v', 'd']","['v', 'e', 'v', 'v', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/07-12-2025/fluminense-bahia.ghtml?utm_source=cartolafc'}",Maracanã,,,,2025-12-07 16:00:00,,0,2,333947,7,265,5,266,1765134000,26,True,38
"['v', 'v', 'v', 'v', 'd']","['v', 'v', 'e', 'e', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/07-12-2025/botafogo-fortaleza.ghtml?utm_source=cartolafc'}",Nilton Santos (Engenhão),,,,2025-12-07 16:00:00,,2,4,333948,18,356,6,263,1765134000,26,True,38
"['e', 'd', 'e', 'd', 'e']","['v', 'd', 'e', 'd', 'e']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/07-12-2025/corinthians-juventude.ghtml?utm_source=cartolafc'}",Neo Química Arena,,,,2025-12-07 16:00:00,,1,1,333949,19,286,13,264,1765134000,26,True,38
"['e', 'v', 'e', 'e', 'd']","['e', 'e', 'v', 'v', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/07-12-2025/santos-cruzeiro.ghtml?utm_source=cartolafc'}",Vila Belmiro,,,,2025-12-07 16:00:00,,0,3,333950,3,283,12,277,1765134000,26,True,38
"['d', 'd', 'v', 'd', 'd']","['d', 'e', 'd', 'd', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/07-12-2025/atletico-mg-vasco.ghtml?utm_source=cartolafc'}",Arena MRV,,,,2025-12-07 16:00:00,,0,5,333952,14,267,11,282,1765134000,26,True,38
"['v', 'd', 'd', 'v', 'd']","['v', 'e', 'd', 'd', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/07-12-2025/internacional-bragantino.ghtml?utm_source=cartolafc'}",Beira-Rio,,,,2025-12-07 16:00:00,,1,3,333953,10,280,16,285,1765134000,26,True,38
"['d', 'v', 'd', 'v', 'd']","['e', 'v', 'v', 'd', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/07-12-2025/vitoria-sao-paulo.ghtml?utm_source=cartolafc'}",Barradão,,,,2025-12-07 16:00:00,,0,1,333954,8,276,15,287,1765134000,26,True,38
"['e', 'e', 'd', 'v', 'v']","['d', 'd', 'e', 'd', 'd']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/07-12-2025/ceara-palmeiras.ghtml?utm_source=cartolafc'}",Castelão (CE),,,,2025-12-07 16:00:00,,3,1,333955,2,275,17,354,1765134000,26,True,38
"['v', 'd', 'v', 'd', 'v']","['d', 'd', 'd', 'd', 'd']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/pe/futebol/brasileirao-serie-a/jogo/07-12-2025/sport-gremio.ghtml?utm_source=cartolafc'}",Ilha do Retiro,,,,2025-12-07 16:00:00,,4,0,333956,9,284,20,292,1765134000,26,True,38
