atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
131116,Felipe Preis,SAO,276,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
131763,Yuri Leles,RBB,280,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
131455,Jardiel,GRE,284,Atacante,5,Nulo,0.0,1.45,0.0,0.85,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
130889,Riquelme,GRE,284,Meia,4,Contundido,0.0,2.62,0.0,1.86,9,11.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
131753,Felipe Longo,COR,264,Goleiro,1,Nulo,0.0,3.24,0.0,2.72,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
131617,André Silva,SAO,276,Atacante,5,Contundido,0.0,6.73,0.0,4.32,19,20.0,1.0,5.0,11.0,20.0,5.0,10.0,0.0,0.0,0.0,2.0,5.0,5.0,,,0.0,0.0,0.0,0.0,0.0
131765,Kevyn,RBB,280,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
131515,Hyan,SAN,277,Meia,4,Nulo,0.0,1.19,0.0,0.7,2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
131516,JP Chermont,SAN,277,Lateral,2,Nulo,0.0,6.05,0.0,4.28,5,1.0,0.0,2.0,14.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0
132560,Davi Barbosa,VIT,287,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
133623,Igão,SAO,276,Zagueiro,3,Nulo,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
132071,Serna,FLU,266,Atacante,5,Provável,1.7,7.14,-0.66,5.21,32,30.0,0.0,4.0,33.0,21.0,14.0,9.0,0.0,0.0,0.0,6.0,3.0,7.0,1.0,,0.0,0.0,0.0,0.0,0.0
132264,Arroyo,CRU,283,Atacante,5,Nulo,1.5,6.53,-0.04,4.35,13,18.0,0.0,0.0,10.0,6.0,9.0,8.0,0.0,0.0,0.0,1.0,4.0,2.0,,,0.0,0.0,0.0,0.0,0.0
132553,Jemmes,MIR,2305,Zagueiro,3,Nulo,0.0,6.05,0.0,4.53,34,11.0,0.0,1.0,60.0,32.0,1.0,9.0,0.0,0.0,11.0,0.0,3.0,1.0,,,0.0,0.0,0.0,0.0,0.0
132580,Vinicinho,RBB,280,Atacante,5,Nulo,6.0,6.24,0.42,3.15,22,37.0,0.0,4.0,20.0,16.0,6.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0
133543,Gui Negão,COR,264,Atacante,5,Nulo,0.0,3.73,0.0,2.43,22,25.0,0.0,3.0,13.0,28.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,,,0.0,0.0,0.0,0.0,0.0
133669,Alysson,GRE,284,Atacante,5,Provável,2.2,5.89,-0.31,4.44,28,50.0,1.0,3.0,46.0,23.0,9.0,12.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0
131762,Isac,SAO,276,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
133671,Gustavo Reis,RBB,280,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
137375,Micael,SPT,292,Atacante,5,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
136156,Larson,PAL,275,Meia,4,Provável,1.6,1.51,0.51,1.6,1,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
133673,Mateus Xavier,SAN,277,Meia,4,Nulo,0.0,1.0,0.0,0.5,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
