atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
132071,Serna,Fluminense,266,Atacante,5,Provável,1.7,7.14,-0.66,5.21,32,Bahia,265,1,5.21,3,4,5.0993634960175305,0.20335442801904738,0.7296918767507004
133669,Alysson,Grêmio,284,Atacante,5,Provável,2.2,5.89,-0.31,4.44,28,Sport,292,-1,4.44,2,2,4.345897536392845,0.33,0.7538200339558575
136156,Larson,Palmeiras,275,Meia,4,Provável,1.6,1.51,0.51,1.6,1,Ceará,354,-1,1.6,2,2,2.0,0.30217869340777587,1.0596026490066226
133679,Benedetti,Palmeiras,275,Zagueiro,3,Provável,6.0,3.79,1.18,3.07,3,Ceará,354,-1,3.07,2,2,2.5716402029314547,0.30217869340777587,0.8100263852242744
37281,Mano Menezes,Grêmio,284,Técnico,6,Provável,10.67,10.32,0.76,5.43,31,Sport,292,-1,5.43,2,2,2.8614704128037314,0.33,0.5261627906976744
139345,Kauã Prates,Cruzeiro,283,Lateral,2,Provável,3.0,4.38,-0.25,3.59,8,Santos,277,-1,3.59,3,3,1.9460124063618622,0.2048780487804878,0.819634703196347
37457,Léo Condé,Ceará,354,Técnico,6,Provável,4.09,8.19,0.23,4.98,35,Palmeiras,275,1,4.98,5,5,2.724133542282347,0.42358977558054306,0.6080586080586081
142004,Amuzu,Grêmio,284,Atacante,5,Provável,0.0,5.04,-1.91,3.5,21,Sport,292,-1,3.5,2,2,4.236142674875902,0.33,0.6944444444444444
142484,Barrera,Botafogo,263,Meia,4,Provável,2.9,5.39,-0.16,3.32,5,Fortaleza,356,1,3.32,4,4,3.868720718790645,0.4959785522788205,0.6159554730983302
142890,Montoro,Botafogo,263,Meia,4,Provável,10.3,9.43,1.44,4.9,14,Fortaleza,356,1,4.9,4,4,3.6509219067559866,0.4959785522788205,0.5196182396606576
143194,Martín Palermo,Fortaleza,356,Técnico,6,Provável,3.19,10.09,-0.42,5.34,14,Botafogo,263,-1,5.34,5,4,2.936432572016596,0.2520107238605898,0.5292368681863231
