C,atleta_id,apelido,posicao,clube,pontuacao_prevista,Real
,42234,Cássio,Goleiro,Cruzeiro,7.803774032592774,2.2
,78850,Reinaldo,Lateral,Mirassol,7.712704248428344,11.2
,106708,Igor Formiga,Lateral,Juventude,7.696754550933838,10.2
,91772,David Duarte,Zagueiro,Bahia,6.999905319213868,2.3
,122861,Abner,Zagueiro,Juventude,5.8449457740783695,2.7
,63007,Neymar,Meia,Santos,11.674344177246095,15.7
,89837,Lucho Acosta,Meia,Fluminense,5.374778137207032,7.4
,126471,Barreal,Meia,Santos,4.745119915008545,5.1
,95131,Gabriel Taliari,Atacante,Juventude,12.023228416442873,25.2
©️,103445,Kaio Jorge,Atacante,Cruzeiro,16.796479768753052,17.6
,105563,Carlos Vinícius,Atacante,Grêmio,12.130786132812501,9.6
,145269,Davide Ancelotti,Técnico,Botafogo,8.853291263580322,0.0
