nome;posicao;clube;preco_num;pontuacao_prevista;Pontuação Real
Vitor Roque;Atacante;PAL;11.94;7,76;20,2
Reinaldo;Lateral;MIR;10.25;7,89;2,2
Rayan;Atacante;VAS;9.66;7,49;0,2
Matheus Pereira;Meia;CRU;14.37;7,33;0,2
Kaio Jorge;Atacante;CRU;16.78;9,01;8,1
Kaiki Bruno;Lateral;CRU;11;7,5;6,1
Filipe Luís;Técnico;FLA;13.01;7,05;3,42
Carlos Miguel;Goleiro;PAL;10.4;8,83;7,6
Carlos Cuesta;Zagueiro;VAS;10.16;5,9;0,4
Arrascaeta;Meia;FLA;18.55;9,27;9,8
Arboleda;Zagueiro;SAO;9.46;5,71;3,4
Alan Patrick;Meia;INT;12.84;6,26;2,4
