aproveitamento_visitante,aproveitamento_mandante,transmissao,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,rodada_id
"['d', 'd', 'd', 'd', 'd']","['e', 'e', 'v', 'e', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/18-11-2025/botafogo-sport.ghtml?utm_source=cartolafc'}",Nilton Santos (Engenhão),ENCERRADA,PAUSADO,POS_JOGO,2025-11-18 20:30:00,2025-11-19T01:33:31.685Z,2.0,3.0,334118,20,292,5,263,1763508600,26,False,34
"['d', 'd', 'v', 'e', 'e']","['d', 'd', 'v', 'v', 'v']","{'label': '', 'url': ''}",Cícero de Souza Marques,,,,2025-12-03 19:00:00,,,,334121,17,287,8,280,1764799200,26,False,34
"['v', 'e', 'v', 'v', 'd']","['v', 'd', 'v', 'e', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/19-11-2025/fluminense-flamengo.ghtml?utm_source=cartolafc'}",Maracanã,ENCERRADA,PAUSADO,POS_JOGO,2025-11-19 21:30:00,2025-11-20T02:39:21.730Z,1.0,2.0,334117,1,262,6,266,1763598600,26,True,34
"['v', 'e', 'd', 'v', 'e']","['e', 'd', 'd', 'v', 'e']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/19-11-2025/santos-mirassol.ghtml?utm_source=cartolafc'}",Vila Belmiro,ENCERRADA,PAUSADO,POS_JOGO,2025-11-19 21:30:00,2025-11-20T02:39:06.116Z,1.0,1.0,334120,4,2305,16,277,1763598600,26,True,34
"['v', 'd', 'd', 'd', 'd']","['v', 'd', 'd', 'e', 'v']","{'label': 'saiba como foi', 'url': 'https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/19-11-2025/gremio-vasco.ghtml?utm_source=cartolafc'}",Arena do Grêmio,ENCERRADA,PAUSADO,POS_JOGO,2025-11-19 21:30:00,2025-11-20T02:35:27.624Z,0.0,2.0,334123,12,267,11,284,1763598600,26,True,34
"['e', 'v', 'v', 'e', 'e']","['d', 'd', 'v', 'v', 'e']","{'label': 'fique por dentro', 'url': 'https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/20-11-2025/juventude-cruzeiro.ghtml?utm_source=cartolafc'}",Alfredo Jaconi,CRIADA,PAUSADO,,2025-11-20 16:00:00,,,,334126,3,283,18,286,1763665200,26,True,34
"['e', 'e', 'e', 'e', 'e']","['d', 'v', 'd', 'e', 'e']","{'label': 'fique por dentro', 'url': 'https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/20-11-2025/bahia-fortaleza.ghtml?utm_source=cartolafc'}",Casa de Apostas Arena Fonte Nova,CRIADA,PAUSADO,,2025-11-20 18:00:00,,,,334124,19,356,7,265,1763672400,26,True,34
"['v', 'v', 'e', 'd', 'e']","['v', 'v', 'd', 'd', 'e']","{'label': 'fique por dentro', 'url': 'https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/20-11-2025/corinthians-sao-paulo.ghtml?utm_source=cartolafc'}",Neo Química Arena,CRIADA,PAUSADO,,2025-11-20 19:30:00,,,,334119,9,276,14,264,1763677800,26,True,34
"['d', 'e', 'd', 'e', 'e']","['d', 'v', 'e', 'v', 'e']","{'label': 'fique por dentro', 'url': 'https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/20-11-2025/ceara-internacional.ghtml?utm_source=cartolafc'}",Castelão (CE),CRIADA,PAUSADO,,2025-11-20 21:30:00,,,,334125,15,285,13,354,1763685000,26,True,34
"['v', 'v', 'd', 'd', 'e']","['e', 'v', 'v', 'e', 'd']","{'label': '', 'url': ''}",Arena MRV,,,,2025-12-03 21:30:00,,,,334122,2,275,10,282,1764808200,26,False,34
