Clube,Pos,Nome,Jogos,Minutos,Minutos Titular,Média,M. Básica,Prob. Ataque (%),Prob. Vitória (%)
CAM,ATA,Hulk,26,2340,0,5.97,6.47,30.8,61.0
CAM,ATA,João Marcelo,4,360,0,1.51,2.85,25.0,61.0
CAM,ATA,Júnior Santos,10,900,0,1.96,3.27,20.0,61.0
CAM,ATA,Rony,24,2160,0,4.59,5.64,29.2,61.0
CAM,ATA,Isaac,1,90,0,0.5,0.5,0.0,61.0
CAM,ATA,Dudu,11,990,0,3.41,4.95,27.3,61.0
CAM,ATA,Biel,11,990,0,2.81,3.6,18.2,61.0
CAM,ATA,Cuello,15,1350,0,4.22,4.64,13.3,61.0
COR,ATA,Ángel Romero,18,1620,0,1.82,2.99,5.6,58.6
COR,ATA,Kayke,5,450,0,1.68,2.82,20.0,58.6
COR,ATA,Yuri Alberto,23,2070,0,5.64,6.4,30.4,58.6
COR,ATA,Vitinho,11,990,0,3.87,4.23,27.3,58.6
COR,ATA,Talles Magno,20,1800,0,2.73,3.34,10.0,58.6
COR,ATA,Memphis Depay,20,1800,0,4.98,5.75,35.0,58.6
COR,ATA,Héctor Hernández,5,450,0,2.18,3.98,20.0,58.6
COR,ATA,Gui Negão,17,1530,0,2.42,3.21,23.5,58.6
Clube 286,ATA,Batalla,19,1710,0,4.02,4.47,26.3,50.0
MIR,ATA,Carlos Eduardo,19,1710,0,3.06,3.73,26.3,50.0
GRE,ATA,Braithwaite,16,1440,0,4.37,4.68,31.2,50.0
Clube 292,ATA,Romarinho,19,1710,0,2.12,2.68,10.5,50.0
MIR,ATA,Cristian,27,2430,0,2.87,3.09,25.9,50.0
Clube 286,ATA,Emerson Galego,1,90,0,1.25,2.5,0.0,50.0
GRE,ATA,André,23,2070,0,4.18,4.37,26.1,50.0
MIR,ATA,Luiz Filipe,0,0,0,-0.6,,0.0,50.0
GRE,ATA,Cristian Olivera,20,1800,0,4.15,4.15,15.0,50.0
FLA,ATA,Wallace Yan,12,1080,0,2.19,2.67,25.0,50.0
Clube 356,ATA,Allanzinho,7,630,0,2.35,2.69,28.6,50.0
Clube 286,ATA,Vitor Pernambuco,3,270,0,1.67,1.67,0.0,50.0
Clube 354,ATA,João Victor,0,0,0,0.0,,0.0,50.0
Clube 286,ATA,Giovanny,15,1350,0,1.81,2.31,13.3,50.0
GRE,ATA,Amuzu,19,1710,0,3.49,3.86,21.1,50.0
MIR,ATA,Maceió,4,360,0,0.78,1.68,0.0,50.0
GRE,ATA,Aravena,20,1800,0,2.25,2.53,15.0,50.0
MIR,ATA,Negueba,27,2430,0,4.49,5.07,29.6,50.0
GRE,ATA,Alysson,27,2430,0,4.44,4.6,11.1,50.0
Clube 286,ATA,Gilberto,13,1170,0,2.05,3.7,23.1,50.0
Clube 286,ATA,Scatolin,1,90,0,1.5,1.5,0.0,50.0
Clube 356,ATA,Kayke Queiroz,1,90,0,0.7,1.6,0.0,50.0
MIR,ATA,Renato Marques,4,360,0,3.52,4.4,25.0,50.0
Clube 286,ATA,Edison Negueba,4,360,0,3.7,4.62,25.0,50.0
Clube 286,ATA,Rafael Bilu,12,1080,0,2.25,2.46,8.3,50.0
GRE,ATA,Carlos Vinícius,12,1080,0,7.95,8.86,58.3,50.0
Clube 286,ATA,Marlon,1,90,0,0.5,0.5,0.0,50.0
FLA,ATA,Samuel Lino,18,1620,0,6.03,6.37,27.8,50.0
GRE,ATA,Jardiel,2,180,0,0.85,1.7,0.0,50.0
Clube 292,ATA,Derik Lacerda,16,1440,0,5.49,5.49,31.2,50.0
Clube 356,ATA,Herrera,15,1350,0,4.99,4.99,20.0,50.0
Clube 356,ATA,Bareiro,14,1260,0,4.05,5.63,42.9,50.0
Clube 292,ATA,Ignacio Ramírez,4,360,0,0.68,1.6,0.0,50.0
MIR,ATA,Alesson,21,1890,0,4.27,4.7,38.1,50.0
MIR,ATA,Chico da Costa,16,1440,0,3.02,3.61,31.2,50.0
Clube 356,ATA,Breno Lopes,26,2340,0,4.7,4.88,34.6,50.0
Clube 354,ATA,Guilherme,4,360,0,1.53,2.7,0.0,50.0
Clube 292,ATA,Gonçalo Paciência,4,360,0,1.42,2.2,0.0,50.0
Clube 354,ATA,Pedro Henrique,24,2160,0,3.93,4.3,25.0,50.0
Clube 354,ATA,Galeano,34,3060,0,4.63,4.76,26.5,50.0
FLA,ATA,Pedro,17,1530,0,7.74,9.6,52.9,50.0
FLA,ATA,Plata,21,1890,0,3.25,4.32,23.8,50.0
Clube 286,ATA,Matheus Babi,13,1170,0,1.68,2.35,15.4,50.0
Clube 356,ATA,Marinho,14,1260,0,3.03,3.76,21.4,50.0
FLA,ATA,Everton,17,1530,0,2.28,2.81,11.8,50.0
Clube 354,ATA,Pedro Raul,27,2430,0,3.92,4.55,25.9,50.0
GRE,ATA,Arezo,6,540,0,2.81,3.9,33.3,50.0
Clube 356,ATA,Moisés,8,720,0,1.68,2.1,12.5,50.0
