CLUBE,POS,NOME,JOGOS,MÉDIA,M. BÁSICA,ESCANTEIOS/JOGO,XA/JOGO,XG/JOGO,ASSISTÊNCIAS,GOLS,G + A
Cruzeiro,ATA,Kaio Jorge,33,9.44,3.14,0.0,0.12,0.62,8,21,29
Flamengo,MEI,Arrascaeta,32,9.32,2.64,0.0,0.29,0.38,14,18,32
Palmeiras,GOL,Carlos Miguel,6,8.52,8.52,0.0,0.02,0.0,0,0,0
Palmeiras,ATA,Vitor Roque,31,8.31,3.7,0.0,0.12,0.55,3,16,19
Flamengo,LAT,Wesley,11,8.31,6.67,0.0,0.1,0.03,2,1,3
Grêmio,ATA,Carlos Vinícius,13,7.95,0.8,0.0,0.12,0.58,1,10,11
Mirassol,LAT,Reinaldo,32,7.93,3.74,0.0,0.27,0.26,6,13,19
Vasco,LAT,Paulo Henrique,26,7.83,5.98,0.0,0.13,0.07,6,1,7
Flamengo,ATA,Pedro,21,7.74,1.74,0.0,0.19,0.74,6,12,18
São Paulo,LAT,Maik,9,7.7,4.81,0.0,0.16,0.04,2,1,3
,LAT,Igor Formiga,16,7.48,5.86,0.0,0.04,0.21,0,1,1
Cruzeiro,LAT,William,30,7.4,6.4,0.0,0.2,0.03,6,0,6
Cruzeiro,LAT,Kaiki Bruno,34,7.35,6.38,0.0,0.02,0.04,0,3,3
Vasco,ATA,Rayan,32,7.31,3.81,0.0,,,0,0,0
Santos,MEI,Neymar,19,7.25,3.35,0.0,0.18,0.42,0,4,4
Vitória,GOL,Thiago Couto,7,7.2,7.2,0.0,0.0,0.0,0,0,0
Botafogo,ATA,Igor Jesus,9,7.19,3.97,0.0,0.12,0.26,1,3,4
Cruzeiro,MEI,Matheus Pereira,34,7.03,4.35,0.0,0.24,0.14,7,6,13
Palmeiras,ATA,Flaco López,30,6.81,3.54,0.0,0.17,0.22,3,5,8
Mirassol,GOL,Walter,28,6.58,6.58,0.0,0.0,0.0,0,0,0
Grêmio,LAT,Marcos Rocha,11,6.56,6.56,0.0,0.11,0.01,0,0,0
Fluminense,LAT,Renê,26,6.47,6.17,0.0,0.09,0.03,0,2,2
Grêmio,LAT,Igor Serrote,7,6.36,6.36,0.0,0.01,0.02,0,0,0
Cruzeiro,TEC,Leonardo Jardim,38,6.28,6.28,0.0,0.13,0.03,0,0,0
Flamengo,TEC,Filipe Luís,38,6.26,6.26,0.0,0.0,0.0,0,0,0
Santos,ATA,Guilherme,31,6.26,4.1,0.0,0.13,0.21,3,4,7
Atlético-MG,MEI,Rubens,13,6.26,5.65,0.0,0.03,0.13,0,1,1
,GOL,Fernando Miguel,6,6.18,6.18,0.0,0.0,0.0,0,0,0
Internacional,MEI,Alan Patrick,30,6.15,2.22,0.0,0.41,0.35,7,10,17
Botafogo,GOL,John,16,6.11,6.11,0.0,0.0,0.0,0,0,0
São Paulo,LAT,Enzo Díaz,27,6.05,5.13,0.0,0.24,0.02,5,0,5
São Paulo,TEC,Hernán Crespo,27,6.04,6.04,0.0,0.1,0.23,0,2,2
Flamengo,ATA,Samuel Lino,19,6.03,3.03,0.0,0.18,0.25,5,3,8
Bragantino,LAT,Juninho Capixaba,21,6.02,5.64,0.0,0.21,0.12,1,1,2
São Paulo,ZAG,Ferraresi,23,5.99,5.34,0.0,0.14,0.03,3,0,3
Atlético-MG,ATA,Hulk,28,5.97,2.9,0.0,0.17,0.19,5,7,12
Palmeiras,TEC,Abel Ferreira,38,5.96,5.96,0.0,0.12,0.07,0,2,2
Santos,MEI,Barreal,33,5.95,3.62,0.0,0.15,0.3,1,9,10
,GOL,Marcão,6,5.93,5.93,0.0,0.0,0.0,0,0,0
Mirassol,LAT,Lucas Ramon,29,5.91,4.84,0.0,0.1,0.08,3,2,5
Cruzeiro,LAT,Fagner,10,5.91,5.91,0.0,0.05,0.01,0,0,0
Fluminense,MEI,Arias,12,5.88,3.55,0.0,0.24,0.18,4,1,5
,GOL,João Ricardo,13,5.87,5.87,0.0,0.0,0.0,0,0,0
Botafogo,LAT,Cuiabano,27,5.83,4.28,0.0,0.17,0.21,2,4,6
Flamengo,LAT,Emerson Royal,13,5.78,4.78,0.0,0.1,0.04,1,1,2
Botafogo,LAT,Alex Telles,23,5.72,3.89,0.0,0.19,0.18,4,4,8
Palmeiras,LAT,Piquerez,28,5.66,4.62,0.0,0.12,0.12,1,3,4
Palmeiras,LAT,Khellven,11,5.65,4.75,0.0,0.12,0.01,2,0,2
Corinthians,ATA,Yuri Alberto,26,5.64,2.18,0.0,0.07,0.51,2,10,12
Bragantino,MEI,Jhon Jhon,31,5.62,2.49,0.0,0.25,0.2,6,8,14
Flamengo,GOL,Rossi,35,5.62,5.62,0.0,0.0,0.0,0,0,0
Fluminense,LAT,Samuel Xavier,27,5.6,4.23,0.0,0.06,0.03,1,4,5
São Paulo,ATA,Luciano,31,5.56,2.6,0.0,0.13,0.47,4,8,12
Corinthians,LAT,Matheuzinho,31,5.54,4.54,0.0,0.13,0.04,3,2,5
Bahia,LAT,Luciano Juba,33,5.54,3.48,0.0,0.14,0.09,4,5,9
Cruzeiro,GOL,Cássio,35,5.51,5.51,0.0,0.0,0.0,0,0,0
Atlético-MG,ZAG,Ruan,5,5.5,3.9,0.0,0.0,0.0,0,0,0
,ATA,Derik Lacerda,16,5.49,2.99,0.0,0.07,0.45,0,6,6
Botafogo,LAT,Vitinho,32,5.49,4.93,0.0,0.09,0.07,1,1,2
Internacional,LAT,Bernabéi,29,5.48,4.79,0.0,0.19,0.05,4,0,4
Corinthians,LAT,Matheus Bidu,26,5.45,5.06,0.0,0.22,0.06,2,0,2
Bahia,ATA,Erick Pulga,25,5.42,3.86,0.0,0.2,0.33,3,3,6
,LAT,Marcelo Hermes,20,5.42,3.36,0.0,0.14,0.05,3,2,5
Botafogo,LAT,Marçal,16,5.41,2.91,0.0,0.01,0.08,0,3,3
Fluminense,TEC,Luis Zubeldía,25,5.41,5.41,0.0,0.0,0.0,0,0,0
