Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
FLA,MEI,Arrascaeta,0,30,9.32,9.99,0.0,0.63,0.88,14,18,32
CRU,ATA,Kaio Jorge,0,31,9.44,10.06,0.0,0.4,0.94,8,21,29
MIR,LAT,Reinaldo,0,29,7.93,8.93,0.0,0.3,0.62,6,13,19
PAL,ATA,Vitor Roque,0,29,8.31,8.88,0.0,0.39,1.01,3,16,19
FLA,ATA,Pedro,0,17,7.74,9.6,0.0,0.45,0.86,6,12,18
INT,MEI,Alan Patrick,0,29,6.15,6.38,0.0,0.35,0.62,6,11,17
BAH,ATA,Willian José,0,26,4.92,5.9,0.0,0.3,0.52,6,10,16
VAS,ATA,Rayan,0,32,7.31,7.31,0.0,0.16,0.71,0,14,14
VAS,ATA,Vegetti,0,28,5.31,6.17,0.0,0.18,0.72,1,13,14
CRU,MEI,Matheus Pereira,0,34,7.03,7.03,0.0,0.53,0.73,7,7,14
RBB,MEI,Jhon Jhon,0,30,5.62,5.84,0.0,0.35,0.6,5,9,14
PAL,ATA,Flaco López,0,28,6.81,7.31,0.0,0.25,0.72,2,11,13
FLU,ATA,Serna,0,29,5.18,5.73,0.0,0.31,0.41,6,7,13
CAM,ATA,Hulk,0,26,5.97,6.47,0.0,0.45,0.67,6,7,13
SAO,ATA,Luciano,0,26,5.56,6.65,0.0,0.32,0.65,4,9,13
GRE,ATA,Carlos Vinícius,0,12,7.95,8.86,0.0,0.24,1.18,1,11,12
COR,ATA,Yuri Alberto,0,23,5.64,6.4,0.0,0.27,0.77,2,10,12
Clube 286,ATA,Gabriel Taliari,0,28,4.7,5.44,0.0,0.38,0.63,4,7,11
SAN,ATA,Guilherme,0,31,6.26,6.26,0.0,0.41,0.45,7,4,11
VAS,ATA,Nuno Moreira,0,29,4.26,4.91,0.0,0.26,0.44,4,7,11
SAN,MEI,Barreal,0,31,5.95,6.34,0.0,0.1,0.42,1,9,10
Clube 354,ATA,Galeano,0,34,4.63,4.76,0.0,0.28,0.5,3,7,10
SAN,MEI,Neymar,0,18,7.25,7.66,0.0,0.44,1.0,2,8,10
BAH,LAT,Luciano Juba,0,29,5.54,6.38,0.0,0.18,0.3,4,6,10
COR,ATA,Memphis Depay,0,20,4.98,5.75,0.0,0.3,0.57,3,6,9
Clube 356,ATA,Breno Lopes,0,26,4.7,4.88,0.0,0.28,0.52,3,6,9
VAS,LAT,Lucas Piton,0,24,4.3,5.15,0.0,0.38,0.11,8,1,9
FLA,ATA,Samuel Lino,0,18,6.03,6.37,0.0,0.38,0.43,5,4,9
PAL,MEI,Maurício,0,24,3.98,4.15,0.0,0.33,0.27,6,3,9
VIT,ATA,Renato Kayzer,0,26,4.31,4.68,0.0,0.2,0.68,0,9,9
SAO,ATA,Ferreira,0,23,4.56,5.42,0.0,0.36,0.53,4,5,9
VAS,LAT,Paulo Henrique,0,24,7.83,8.64,0.0,0.42,0.19,8,1,9
CRU,ATA,Gabriel,0,18,3.02,5.2,0.0,0.18,0.48,2,6,8
FLA,ATA,Luiz Araújo,0,29,4.23,4.84,0.0,0.15,0.36,2,6,8
MIR,ATA,Alesson,0,21,4.27,4.7,0.0,0.25,0.41,3,5,8
RBB,ATA,Isidro Pitta,0,13,3.06,5.39,0.0,0.15,0.68,1,7,8
PAL,ATA,Facundo Torres,0,21,3.9,5.02,0.0,0.3,0.5,3,5,8
Clube 292,MEI,Lucas Lima,0,27,3.69,4.19,0.0,0.31,0.4,4,4,8
BAH,ATA,Ademir,0,28,4.66,4.82,0.0,0.38,0.36,6,2,8
RBB,ATA,Eduardo Sasha,0,23,3.96,5.31,0.0,0.23,0.51,2,6,8
VIT,ATA,Erick,0,27,5.05,5.44,0.0,0.44,0.53,5,3,8
MIR,ATA,Negueba,0,27,4.49,5.07,0.0,0.26,0.52,2,6,8
BOT,ATA,Artur,0,22,4.37,4.98,0.0,0.3,0.39,4,4,8
CAM,ATA,Rony,0,24,4.59,5.64,0.0,0.32,0.53,3,5,8
INT,ATA,Carbonero,0,21,4.57,5.23,0.0,0.36,0.66,2,5,7
RBB,ATA,Laquintana,0,19,3.69,4.27,0.0,0.21,0.31,3,4,7
FLA,MEI,Carrascal,0,14,5.33,5.74,0.0,0.5,0.4,5,2,7
Clube 356,ATA,Bareiro,0,14,4.05,5.63,0.0,0.19,0.61,1,6,7
Clube 354,ATA,Pedro Raul,0,27,3.92,4.55,0.0,0.14,0.52,0,7,7
INT,ATA,Borré,0,23,3.98,5.2,0.0,0.16,0.37,2,5,7
SAO,ATA,André Silva,0,17,4.32,4.86,0.0,0.22,0.48,2,5,7
GRE,ATA,André,0,23,4.18,4.37,0.0,0.15,0.34,2,5,7
VAS,MEI,Philippe Coutinho,0,26,4.29,4.63,0.0,0.26,0.41,3,4,7
CAM,MEI,Igor Gomes,0,23,2.95,3.6,0.0,0.16,0.34,2,5,7
MIR,ATA,Cristian,0,27,2.87,3.09,0.0,0.16,0.23,3,4,7
Clube 286,LAT,Marcelo Hermes,0,19,5.42,5.72,0.0,0.33,0.23,5,2,7
CRU,MEI,Christian,0,27,4.07,4.53,0.0,0.25,0.47,2,5,7
Clube 354,ATA,Pedro Henrique,0,24,3.93,4.3,0.0,0.22,0.34,3,4,7
BAH,MEI,Everton Ribeiro,0,27,3.85,4.33,0.0,0.31,0.33,4,2,6
BOT,ATA,Jeffinho,0,11,3.86,5.6,0.0,0.43,0.29,4,2,6
INT,ATA,Ricardo Mathias,0,16,3.05,4.26,0.0,0.12,0.42,1,5,6
SAO,MEI,Bobadilla,0,23,4.19,5.56,0.0,0.14,0.27,2,4,6
BOT,MEI,Savarino,0,20,3.71,4.68,0.0,0.24,0.32,3,3,6
BOT,MEI,Santiago Rodríguez,0,21,3.99,4.61,0.0,0.34,0.34,4,2,6
FLA,ATA,Bruno Henrique,0,24,3.38,4.3,0.0,0.13,0.49,0,6,6
Clube 356,MEI,Pochettino,0,19,4.7,5.73,0.0,0.27,0.23,4,2,6
CRU,LAT,William,0,27,7.4,8.29,0.0,0.29,0.13,6,0,6
MIR,ATA,Carlos Eduardo,0,19,3.06,3.73,0.0,0.33,0.3,4,2,6
VAS,ATA,Andrés Gómez,0,15,4.43,4.43,0.0,0.45,0.27,5,1,6
INT,ATA,Vitinho,0,24,4.57,4.95,0.0,0.18,0.46,1,5,6
GRE,ATA,Pavón,0,22,3.34,3.88,0.0,0.34,0.13,6,0,6
BOT,LAT,Cuiabano,0,27,5.83,5.83,0.0,0.14,0.27,2,4,6
MIR,ATA,Edson Carioca,0,17,4.54,5.37,0.0,0.21,0.42,2,4,6
VIT,ATA,Cantalapiedra,0,16,5.13,5.45,0.0,0.27,0.33,3,3,6
Clube 354,MEI,Lucas Mugni,0,23,3.3,4.5,0.0,0.24,0.2,4,2,6
Clube 292,MEI,Matheusinho,0,21,3.86,4.18,0.0,0.32,0.32,4,2,6
