Clube,Jogador,Status,3 Jogos,5 Jogos,MAX 3,MAX 5,Últimos 3 Jogos (%),% D
SAN,Neymar MEI,0,16.23,13.26,3,5,100.0,94.7
CRU,Kaio Jorge ATA,0,16.13,11.96,3,5,100.0,93.9
CAM,Hulk ATA,0,16.0,10.5,3,5,100.0,92.9
SAN,Guilherme ATA,0,13.67,9.88,3,5,100.0,100.0
PAL,Vitor Roque ATA,0,13.43,11.26,3,5,100.0,93.5
SAN,Igor Vinícius LAT,0,13.07,8.6,3,5,100.0,81.8
Clube 356,Bareiro ATA,0,12.37,11.06,3,5,66.67,77.8
FLU,Canobbio ATA,0,12.1,9.92,3,5,100.0,96.4
GRE,Carlos Vinícius ATA,0,11.9,9.74,3,5,100.0,92.3
FLA,Pedro ATA,0,11.5,8.92,3,5,66.67,81.0
FLU,Soteldo ATA,0,11.43,7.2,3,5,100.0,76.2
VIT,Thiago Couto GOL,0,11.07,9.44,3,5,66.67,85.7
Clube 356,Juan Vojvoda TEC,0,10.68,8.16,3,5,100.0,96.7
Clube 356,Herrera ATA,0,10.57,8.34,3,5,100.0,100.0
FLA,Wesley LAT,0,10.33,8.82,3,5,100.0,100.0
FLA,Jorginho MEI,0,10.17,8.9,3,5,100.0,88.2
FLU,Serna ATA,0,10.0,9.14,3,5,100.0,90.6
GRE,Pavón ATA,0,9.97,6.98,3,5,100.0,88.0
Clube 356,Pochettino MEI,0,9.83,7.54,3,5,100.0,82.6
CAM,Rony ATA,0,9.77,7.72,3,5,100.0,82.8
BOT,Alex Telles LAT,0,9.73,7.28,3,5,66.67,91.3
BOT,Jair ZAG,0,9.7,7.44,3,5,100.0,90.0
FLA,Arrascaeta MEI,0,9.67,9.7,3,5,100.0,93.8
CAM,Jorge Sampaoli TEC,0,9.4,8.26,3,5,33.33,68.8
Clube 356,João Ricardo GOL,0,9.37,7.22,3,5,66.67,84.6
VAS,Rayan ATA,0,9.33,7.78,3,5,100.0,100.0
Clube 356,Bruninho MEI,0,9.3,9.3,1,1,33.33,100.0
SAO,Luis Zubeldía TEC,0,9.15,7.94,3,5,100.0,96.0
MIR,Reinaldo LAT,0,9.1,8.18,3,5,100.0,90.6
RBB,Jhon Jhon MEI,0,9.1,7.56,3,5,100.0,96.8
COR,Yuri Alberto ATA,0,9.07,7.74,3,5,66.67,88.5
BAH,Ademir ATA,0,9.03,8.62,3,5,100.0,96.6
SAO,Sabino ZAG,0,9.03,6.66,3,5,100.0,90.0
VAS,Paulo Henrique LAT,0,8.93,10.76,3,5,100.0,92.3
MIR,Walter GOL,0,8.9,6.82,3,5,66.67,92.9
BAH,Acevedo MEI,0,8.87,6.78,3,5,100.0,83.3
BOT,Marçal LAT,0,8.8,8.38,3,5,66.67,81.2
VIT,Baralhas MEI,0,8.73,6.48,3,5,100.0,84.6
VIT,Lucas Halter ZAG,0,8.7,8.48,3,5,100.0,77.4
SAN,Thaciano MEI,0,8.53,5.7,3,5,66.67,68.4
VIT,Jair Ventura TEC,0,8.52,7.67,3,5,66.67,86.7
SAN,Gabriel Brazão GOL,0,8.47,5.72,3,5,100.0,83.8
PAL,Bruno Fuchs ZAG,0,8.4,8.44,3,5,66.67,83.3
SAN,Souza LAT,0,8.33,6.08,3,5,100.0,95.7
BAH,Santiago Arias LAT,0,8.3,6.22,3,5,100.0,70.0
SAN,Adonis Frías ZAG,0,8.3,5.92,3,5,100.0,91.7
CAM,Dudu ATA,0,8.23,6.36,3,5,100.0,68.8
PAL,Carlos Miguel GOL,0,8.2,10.56,3,5,100.0,83.3
BOT,Alexander Barboza ZAG,0,8.1,5.9,3,5,66.67,90.9
CAM,Junior Alonso ZAG,0,8.07,6.02,3,5,66.67,85.7
SAO,Maik LAT,0,7.9,7.04,3,5,100.0,100.0
CAM,Alexsander MEI,0,7.9,6.12,3,5,100.0,100.0
FLU,Thiago Silva ZAG,0,7.87,7.02,3,5,66.67,73.9
VIT,Erick ATA,0,7.83,6.18,3,5,100.0,93.1
SAO,Bobadilla MEI,0,7.83,6.42,3,5,66.67,76.7
VIT,Lucas Arcanjo GOL,0,7.77,5.16,3,5,66.67,82.8
PAL,Micael ZAG,0,7.7,5.56,3,5,100.0,83.3
GRE,André ATA,0,7.67,5.58,3,5,66.67,95.8
FLU,Julio Fidélis LAT,0,7.6,7.6,3,3,100.0,100.0
VIT,Raúl Cáceres LAT,0,7.4,7.54,3,5,100.0,66.7
SAN,Zé Ivaldo ZAG,0,7.4,5.82,3,5,100.0,85.0
SAO,Enzo Díaz LAT,0,7.37,8.82,3,5,100.0,88.9
FLU,Marcão TEC,0,7.34,7.34,1,1,33.33,100.0
FLU,Fábio GOL,0,7.33,6.5,3,5,100.0,83.3
PAL,Piquerez LAT,0,7.33,5.46,3,5,100.0,89.3
FLU,Renê LAT,0,7.33,7.02,3,5,100.0,96.2
BAH,Luciano Juba LAT,0,7.23,6.54,3,5,100.0,87.9
SAN,João Schmidt MEI,0,7.2,5.08,3,5,100.0,70.0
SAO,Rafael GOL,0,7.17,7.44,3,5,100.0,88.2
Clube 292,Caíque França GOL,0,7.13,6.28,3,5,100.0,93.3
Clube 356,Lucca Prior MEI,0,7.0,6.32,3,5,100.0,72.7
Clube 354,Fernando Miguel GOL,0,6.97,6.74,3,5,100.0,100.0
CRU,Kaiki Bruno LAT,0,6.97,8.0,3,5,66.67,97.1
