Clube,Probabilidade de Vitória (%),Gols Sofridos (Média),SG's Conquistados (%),Gols Marcados - Adversário (Média),SG's Cedidos - Adversário (%)
CAM,61.03854416158424,1.34,34.21052631578947,1.1578947368421053,39.473684210526315
COR,58.62260807264457,1.22,28.947368421052634,1.236842105263158,26.31578947368421
BOT,49.59785522788205,0.9,39.473684210526315,1.0,36.84210526315789
PAL,30.217869340777593,0.91,39.473684210526315,0.868421052631579,21.052631578947366
SAO,30.110855768429325,1.22,31.57894736842105,1.236842105263158,36.84210526315789
VIT,29.005870235642927,1.46,31.57894736842105,1.368421052631579,39.473684210526315
BAH,25.202969004488317,1.28,34.21052631578947,1.2105263157894737,18.421052631578945
RBB,24.997982949197215,1.47,26.31578947368421,1.5,18.421052631578945
VAS,23.652435862613892,1.54,18.421052631578945,1.5789473684210527,36.84210526315789
CRU,20.48780487804878,0.96,44.73684210526316,0.8157894736842105,26.31578947368421
FLU,20.335442801904737,1.07,42.10526315789473,1.0263157894736843,26.31578947368421
INT,19.08936879756878,1.28,18.421052631578945,1.5,26.31578947368421
SAN,11.219512195121949,1.32,26.31578947368421,1.3157894736842106,31.57894736842105
GRE,0.0,1.4,18.421052631578945,1.3157894736842106,28.947368421052634
FOR,0.0,1.26,26.31578947368421,1.5263157894736843,31.57894736842105
JUV,0.0,1.76,18.421052631578945,1.8157894736842106,39.473684210526315
FLA,0.0,0.94,47.368421052631575,0.7105263157894737,15.789473684210526
SPT,0.0,1.97,13.157894736842104,1.9736842105263157,44.73684210526316
MIR,0.0,1.03,28.947368421052634,1.0263157894736843,15.789473684210526
CEA,0.0,1.05,28.947368421052634,1.0526315789473684,36.84210526315789
