ano,rodada,clube_id,probabilidade_sg
2021,1,275,0.5
2021,1,267,0.5
2021,1,265,0.5
2021,1,277,0.5
2021,1,276,0.5
2021,1,266,0.5
2021,1,282,0.5
2021,1,356,0.5
2021,1,354,0.5
2021,1,284,0.5
2021,1,262,0.5
2021,1,275,0.5
2021,1,285,0.5
2021,1,292,0.5
2021,2,277,0.5
2021,2,354,0.5
2021,2,280,0.5
2021,2,265,0.5
2021,2,356,0.5
2021,2,285,0.5
2021,2,292,0.5
2021,2,282,0.5
2021,2,284,0.5
2021,2,262,0.5
2021,3,277,0.25
2021,3,286,0.25
2021,3,275,0.25
2021,3,264,0.25
2021,3,282,0.25
2021,3,276,0.25
2021,3,356,0.0
2021,3,292,0.0
2021,3,265,0.5
2021,3,285,0.0
2021,3,280,0.5
2021,3,266,0.5
2021,4,285,0.0
2021,4,282,0.5
2021,4,264,0.5
2021,4,280,0.5
2021,4,286,0.75
2021,4,275,0.25
2021,4,354,0.0
2021,4,265,0.0
2021,4,266,0.75
2021,4,277,0.25
2021,4,292,0.0
2021,4,284,0.5
2021,5,262,0.5
2021,5,280,0.0
2021,5,265,0.25
2021,5,264,0.25
2021,5,285,0.0
2021,5,354,0.25
2021,5,356,0.5
2021,5,266,0.25
2021,5,277,0.75
2021,5,276,0.25
2021,5,286,0.25
2021,5,292,0.5
2021,6,262,0.25
2021,6,356,0.0
2021,6,280,0.25
2021,6,275,0.25
2021,6,264,0.3333
2021,6,292,0.0
2021,6,354,0.0
2021,6,282,0.5
2021,6,284,0.5
2021,6,277,0.0
2021,7,286,0.25
2021,7,262,0.25
2021,7,266,0.75
2021,7,264,0.25
2021,7,284,0.0
2021,7,356,0.0
2021,7,275,0.0
2021,7,265,0.0
2021,7,277,0.3333
2021,7,282,0.5
2021,7,354,0.5
2021,7,276,0.0
2021,8,285,0.1667
2021,8,275,0.3333
2021,8,277,0.625
2021,8,292,0.125
2021,8,264,0.3333
2021,8,276,0.0
2021,8,286,0.5833
2021,8,284,0.1667
2021,8,280,0.0
2021,8,354,0.0
2021,9,264,0.1667
2021,9,285,0.4167
2021,9,262,0.3333
2021,9,266,0.1667
2021,9,292,0.375
2021,9,275,0.375
2021,9,276,0.5
2021,9,280,0.5
2021,9,354,0.5
2021,9,286,0.5
2021,10,265,0.8333
2021,10,286,0.5833
2021,10,275,0.3333
2021,10,284,0.0
2021,10,282,0.5
2021,10,262,0.0
2021,10,285,0.375
2021,10,276,0.25
2021,10,266,0.4167
2021,10,354,0.1667
2021,11,275,0.4583
2021,11,277,0.0
2021,11,284,0.1667
2021,11,285,0.3333
2021,11,276,0.25
2021,11,265,0.25
2021,11,292,0.2917
2021,11,266,0.5833
2021,11,356,0.3333
2021,11,264,0.1667
2021,12,276,0.5
2021,12,356,0.3333
2021,12,264,0.25
2021,12,282,0.375
2021,12,266,0.7083
2021,12,284,0.1667
2021,12,265,0.5417
2021,12,262,0.25
2021,12,280,0.375
2021,12,277,0.125
2021,12,285,0.5
2021,12,286,0.3667
2021,13,275,0.2
2021,13,266,0.2
2021,13,282,0.2917
2021,13,265,0.0
2021,13,262,0.425
2021,13,276,0.325
2021,13,356,0.25
2021,13,280,0.0
2021,13,292,0.375
2021,13,354,0.5
2021,14,276,0.35
2021,14,275,0.45
2021,14,280,0.4
2021,14,284,0.2
2021,14,264,0.225
2021,14,262,0.225
2021,14,265,0.6
2021,14,292,0.4
2021,14,354,0.225
2021,14,356,0.25
2021,14,266,0.75
2021,14,286,0.375
2021,15,292,0.325
2021,15,280,0.3
2021,15,275,0.3
2021,15,356,0.2
2021,15,277,0.65
2021,15,264,0.325
2021,15,286,0.475
2021,15,282,0.325
2021,15,262,0.225
2021,15,285,0.35
2021,16,280,0.6
2021,16,286,0.2
2021,16,282,0.35
2021,16,275,0.3
2021,16,276,0.7
2021,16,284,0.4
2021,16,262,0.3
2021,16,292,0.4
2021,16,264,0.4
2021,16,354,0.4
2021,16,356,0.5
2021,16,277,0.0
2021,16,285,0.2
2021,16,266,0.3
2021,17,284,0.45
