ano,rodada,atleta_id,apelido,posicao,medalhas_acumuladas,percentual_top5
2025,1,37457,Léo Condé,Tecnico,0,0.0
2025,1,37656,Fábio,Goleiro,0,0.0
2025,1,37715,Thiago Silva,Zagueiro,0,0.0
2025,1,39148,Hulk,Atacante,0,0.0
2025,1,39656,Alan Franco,Meia,0,0.0
2025,1,41929,Renato Gaúcho,Tecnico,0,0.0
2025,1,42234,Cássio,Goleiro,0,0.0
2025,1,42411,Cuca,Tecnico,0,0.0
2025,1,51772,Everton Ribeiro,Meia,0,0.0
2025,1,52271,Fernando,Meia,0,0.0
2025,1,52827,David Luiz,Zagueiro,0,0.0
2025,1,61987,Alex Sandro,Lateral,0,0.0
2025,1,63110,Alan Ruschel,Lateral,0,0.0
2025,1,63289,Edenílson,Meia,0,0.0
2025,1,68685,Alan Patrick,Meia,0,0.0
2025,1,68899,Philippe Coutinho,Meia,0,0.0
2025,1,68920,Dudu,Atacante,0,0.0
2025,1,68923,Gil,Zagueiro,0,0.0
2025,1,68928,Rafael,Goleiro,0,0.0
2025,1,68952,Marinho,Atacante,0,0.0
2025,1,68991,Lucas Sasha,Meia,0,0.0
2025,1,69138,Pablo,Atacante,0,0.0
2025,1,70360,Eduardo Sasha,Atacante,0,0.0
2025,1,70449,Gabriel,Goleiro,0,0.0
2025,1,70592,Felipe Anderson,Meia,0,0.0
2025,1,70666,Marllon,Zagueiro,0,0.0
2025,1,70696,Fábio Carille,Tecnico,0,0.0
2025,1,70788,Enner Valencia,Atacante,0,0.0
2025,1,70916,Diogo Barbosa,Lateral,0,0.0
2025,1,70944,Bruno Henrique,Meia,0,0.0
2025,1,71536,Luiz Gustavo,Meia,0,0.0
2025,1,71631,Weverton,Goleiro,0,0.0
2025,1,72018,Tiago Volpi,Goleiro,0,0.0
2025,1,72294,Everson,Goleiro,0,0.0
2025,1,72460,Bernard,Meia,0,0.0
2025,1,72493,Alex Telles,Lateral,0,0.0
2025,1,72864,Gustavo Quinteros,Tecnico,0,0.0
2025,1,77664,Sérgio Oliveira,Meia,0,0.0
2025,1,77777,João Schmidt,Meia,0,0.0
2025,1,78117,Everaldo,Atacante,0,0.0
2025,1,78445,Renê,Lateral,0,0.0
2025,1,78605,Gabriel,Meia,0,0.0
2025,1,78850,Reinaldo,Lateral,0,0.0
2025,1,79066,Alex Muralha,Goleiro,0,0.0
2025,1,79266,Bruno Ferreira,Goleiro,0,0.0
2025,1,79437,Roger Machado,Tecnico,0,0.0
2025,1,79631,Cano,Atacante,0,0.0
2025,1,79701,Lucas Silva,Meia,0,0.0
2025,1,80129,Jadson,Meia,0,0.0
2025,1,80196,Yago Pikachu,Meia,0,0.0
2025,1,80287,Luciano,Atacante,0,0.0
2025,1,80313,Gilberto,Lateral,0,0.0
2025,1,80570,Wendell,Lateral,0,0.0
2025,1,80583,Lucas Lima,Meia,0,0.0
2025,1,81091,Jair,Meia,0,0.0
2025,1,81121,Lucas Mugni,Meia,0,0.0
2025,1,81150,Mayke,Lateral,0,0.0
2025,1,81845,Alisson,Meia,0,0.0
2025,1,81881,João Ricardo,Goleiro,0,0.0
2025,1,81952,Willian Oliveira,Meia,0,0.0
2025,1,82407,Chico Kim,Meia,0,0.0
2025,1,82627,Luiz Araújo,Atacante,0,0.0
2025,1,82628,Tinga,Lateral,0,0.0
2025,1,82775,Lucas Ramon,Lateral,0,0.0
2025,1,83257,Gabriel,Atacante,0,0.0
2025,1,83528,Léo Pereira,Zagueiro,0,0.0
2025,1,83786,Neris,Zagueiro,0,0.0
2025,1,84042,Tiquinho Soares,Atacante,0,0.0
2025,1,84263,Jemerson,Zagueiro,0,0.0
2025,1,84428,Fernando Sobral,Meia,0,0.0
2025,1,84558,Lucas Romero,Meia,0,0.0
2025,1,84674,Lucas Evangelista,Meia,0,0.0
2025,1,85403,Danielzinho,Meia,0,0.0
2025,1,85465,Alex Santana,Meia,0,0.0
2025,1,85856,Ricardo Ryller,Meia,0,0.0
2025,1,85930,Aylon,Atacante,0,0.0
