ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2021,28,284,265,2,1
2021,28,292,356,1,0
2021,28,262,266,1,2
2021,28,354,285,0,2
2021,29,292,275,0,1
2021,29,356,284,0,0
2021,29,276,277,0,1
2021,29,262,354,0,2
2021,29,267,263,3,0
2021,29,280,282,2,2
2021,29,264,266,5,0
2021,30,275,284,1,1
2021,30,267,264,0,1
2021,30,277,263,2,1
2021,30,354,280,1,2
2021,30,285,356,4,2
2021,28,275,264,4,0
2021,31,284,282,1,1
2021,31,264,266,3,3
2021,31,280,267,4,1
2021,31,276,285,1,5
2021,31,262,275,2,0
2021,31,356,277,2,0
2021,31,264,292,3,0
2021,32,276,264,1,1
2021,32,267,282,3,2
2021,32,285,284,2,1
2021,32,354,275,2,1
2021,32,292,265,2,0
2021,32,266,263,2,0
2021,32,264,280,0,2
2021,1,275,267,1,1
2021,28,282,277,2,0
2021,23,284,262,2,4
2021,30,265,264,2,1
2021,33,267,265,0,0
2021,33,264,284,1,1
2021,33,282,356,2,0
2021,33,285,280,2,1
2021,33,292,262,0,3
2021,33,275,263,1,1
2021,34,284,277,3,3
2021,34,264,354,2,1
2021,34,265,266,0,1
2021,34,356,264,3,1
2021,34,262,267,2,0
2021,34,263,292,0,1
2021,35,280,262,1,1
2021,35,263,284,2,5
2021,35,285,292,1,2
2021,35,356,267,3,0
2021,35,276,354,1,1
2021,35,266,282,0,0
2021,36,282,265,1,1
2021,36,277,264,2,0
2021,36,262,264,2,1
2021,36,267,285,0,2
2021,36,275,356,3,0
2021,36,284,276,1,2
2021,36,354,266,1,3
2021,36,292,280,0,0
2021,33,277,264,1,0
2021,35,264,275,1,0
2021,34,276,275,1,1
2021,37,264,354,0,2
2021,37,356,265,0,4
2021,37,264,267,0,0
2021,37,292,282,2,3
2021,37,262,285,2,1
2021,37,277,266,1,1
2021,37,263,276,1,0
2021,38,280,284,1,0
2021,38,265,277,2,0
2021,38,354,263,2,1
2021,38,282,275,2,0
2021,38,266,356,2,0
2021,38,285,264,0,0
2021,38,276,262,2,1
2021,1,265,277,3,0
2021,1,276,266,0,0
2021,1,282,356,1,2
2021,1,354,284,3,2
2021,1,262,275,1,0
2021,1,285,292,2,2
2021,2,277,354,3,1
2021,2,280,265,3,3
2021,2,356,285,5,1
2021,2,292,282,0,1
2021,3,277,286,0,0
2021,3,275,264,1,1
2021,3,282,276,1,0
2021,3,356,292,1,0
2021,3,265,285,0,1
2021,3,280,266,2,2
2021,4,285,282,0,1
2021,4,264,280,1,2
2021,4,286,275,0,3
2021,4,354,265,1,2
2021,4,266,277,1,0
2021,4,292,284,1,0
2021,5,262,280,2,3
2021,5,265,264,0,0
2021,5,285,354,1,1
2021,5,356,266,1,1
2021,5,277,276,2,0
2021,5,286,292,1,0
2021,6,262,356,2,1
2021,6,280,275,3,1
2021,6,264,292,2,1
2021,6,354,282,2,1
2021,6,284,277,2,2
2021,7,286,262,1,0
2021,7,266,264,1,1
2021,7,284,356,0,0
2021,7,275,265,3,2
2021,7,277,282,2,0
2021,7,354,276,1,1
2021,8,285,275,1,2
2021,8,277,292,0,0
2021,8,264,276,0,0
2021,8,286,284,2,0
2021,8,280,354,0,0
2021,9,264,285,1,1
2021,9,262,266,0,1
2021,9,292,275,0,1
2021,9,276,280,1,2
2021,9,354,286,2,0
2021,10,265,286,1,0
2021,10,275,284,2,0
2021,10,282,262,2,1
2021,10,285,276,0,2
2021,10,266,354,0,0
2021,11,275,277,3,2
2021,11,284,285,0,0
