aproveitamento_visitante,aproveitamento_mandante,transmissao,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,rodada_id
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Maracanã,,,,2026-01-28 19:30:00,,,,346235,1,284,1,266,1769639400,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Nilton Santos (Engenhão),,,,2026-01-29 21:30:00,,,,346236,1,283,1,263,1769733000,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Morumbis,,,,2026-01-28 21:30:00,,,,346237,1,262,1,276,1769646600,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Neo Química Arena,,,,2026-01-29 20:30:00,,,,346238,1,265,1,264,1769729400,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Maião,,,,2026-01-28 20:00:00,,,,346239,1,267,1,2305,1769641200,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Arena MRV,,,,2026-01-28 19:00:00,,,,346240,1,275,1,282,1769637600,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Beira-Rio,,,,2026-01-28 19:00:00,,,,346241,1,293,1,285,1769637600,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Couto Pereira,,,,2026-01-28 19:00:00,,,,346242,1,280,1,294,1769637600,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Barradão,,,,2026-01-28 19:00:00,,,,346243,1,364,1,287,1769637600,26,True,1
"['', '', '', '', '']","['', '', '', '', '']","{'label': '', 'url': ''}",Arena Condá,,,,2026-01-28 20:00:00,,,,346244,1,277,1,315,1769641200,26,True,1
