atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,G,A,FT,FD,FF,FS,PP,I,DP,CV,CA,GC,SG,DE,DS,GS,FC,PC
118563,Rodriguinho,SAO,276,Meia,4,Nulo,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141609,Lucca,SAO,276,Atacante,5,Dúvida,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117818,Young,SAO,276,Goleiro,1,Nulo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108588,Tapia,SAO,276,Atacante,5,Dúvida,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106294,Marcos Antônio,SAO,276,Meia,4,Provável,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141611,Maik,SAO,276,Lateral,2,Nulo,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131617,André Silva,SAO,276,Atacante,5,Contundido,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106028,Coronel,SAO,276,Goleiro,1,Nulo,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140542,Ryan Francisco,SAO,276,Atacante,5,Contundido,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105300,Ferraresi,SAO,276,Zagueiro,3,Nulo,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107873,Bobadilla,SAO,276,Meia,4,Nulo,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113359,Pablo Maia,SAO,276,Meia,4,Nulo,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90309,David,VAS,267,Atacante,5,Nulo,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71123,Thiago Mendes,VAS,267,Meia,4,Provável,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81091,Jair,VAS,267,Meia,4,Nulo,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93716,Paulo Henrique,VAS,267,Lateral,2,Provável,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72391,Fernando Diniz,VAS,267,Técnico,6,Provável,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51413,Walter,MIR,2305,Goleiro,1,Provável,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97095,Carlos Cuesta,VAS,267,Zagueiro,3,Provável,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99213,Puma Rodríguez,VAS,267,Lateral,2,Nulo,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86410,Victor Luis,VAS,267,Lateral,2,Nulo,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86686,Tchê Tchê,VAS,267,Meia,4,Nulo,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95936,Daniel Fuzato,VAS,267,Goleiro,1,Nulo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101594,Hugo Moura,VAS,267,Meia,4,Nulo,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105584,Lucas Piton,VAS,267,Lateral,2,Provável,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111682,Adson,VAS,267,Meia,4,Nulo,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122486,Rayan,VAS,267,Atacante,5,Provável,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
