atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
106294,Marcos Antônio,São Paulo,276,Meia,4,Provável,0,8,0,0,0,Flamengo,262,1,0.0,4,5,2.0,0.467498473082628,0.0
71123,Thiago Mendes,Vasco,267,Meia,4,Provável,0,7,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
93716,Paulo Henrique,Vasco,267,Lateral,2,Provável,0,10,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
72391,Fernando Diniz,Vasco,267,Técnico,6,Provável,0,8,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
51413,Walter,Mirassol,2305,Goleiro,1,Provável,0,5,0,0,0,Vasco,267,1,0.0,3,3,2.0,0.5397443578989416,0.0
97095,Carlos Cuesta,Vasco,267,Zagueiro,3,Provável,0,9,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
105584,Lucas Piton,Vasco,267,Lateral,2,Provável,0,9,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
122486,Rayan,Vasco,267,Atacante,5,Provável,0,9,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
142279,Nuno Moreira,Vasco,267,Meia,4,Provável,0,8,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
117330,Robert Renan,Vasco,267,Zagueiro,3,Provável,0,8,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
116706,Andrés Gómez,Vasco,267,Atacante,5,Provável,0,9,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
122485,Barros,Vasco,267,Meia,4,Provável,0,5,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
90588,Caíque,Vitória,287,Meia,4,Provável,0,6,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
99440,Baralhas,Vitória,287,Meia,4,Provável,0,6,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
90943,Zé Marcos,Vitória,287,Zagueiro,3,Provável,0,5,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
96793,Camutanga,Vitória,287,Zagueiro,3,Provável,0,5,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
93411,Cantalapiedra,Vitória,287,Meia,4,Provável,0,7,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
92180,Jair Ventura,Vitória,287,Técnico,6,Provável,0,5,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
92696,Renato Kayzer,Vitória,287,Atacante,5,Provável,0,6,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
101752,Claudinho,Vitória,287,Lateral,2,Provável,0,4,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
101597,Ramon,Vitória,287,Lateral,2,Provável,0,5,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
104118,Lucas Arcanjo,Vitória,287,Goleiro,1,Provável,0,4,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
100969,Ronald Lopes,Vitória,287,Meia,4,Provável,0,5,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
80129,Jadson,Athlético-PR,293,Meia,4,Provável,0,6,0,0,0,Internacional,285,-1,0.0,4,3,2.0,0.33,0.0
92273,Odair Hellmann,Athlético-PR,293,Técnico,6,Provável,0,5,0,0,0,Internacional,285,-1,0.0,4,3,2.0,0.33,0.0
102796,Julimar,Athlético-PR,293,Atacante,5,Provável,0,4,0,0,0,Internacional,285,-1,0.0,4,3,2.0,0.33,0.0
