C,atleta_id,apelido,posicao,clube,pontuacao_prevista,Real
,72018,Tiago Volpi,Goleiro,Grêmio,8.597817134857179,7.6
,78850,Reinaldo,Lateral,Mirassol,6.541501884460449,11.2
,112709,Kaiki Bruno,Lateral,Cruzeiro,6.364755902290344,10.5
,105990,Santiago Mingo,Zagueiro,Bahia,5.028226261138916,0.9
,122861,Abner,Zagueiro,Juventude,5.687961101531982,2.7
,68685,Alan Patrick,Meia,Internacional,6.895669145584106,8.7
,84558,Lucas Romero,Meia,Cruzeiro,5.075162987709045,5.3
,90532,Arthur Melo,Meia,Grêmio,5.029051818847656,3.2
,95131,Gabriel Taliari,Atacante,Juventude,11.880754966735841,25.2
©️,103445,Kaio Jorge,Atacante,Cruzeiro,15.789483489990234,17.6
,105563,Carlos Vinícius,Atacante,Grêmio,11.45138916015625,9.6
,145269,Davide Ancelotti,Técnico,Botafogo,10.468960103988648,0.0
