apelido;atleta_id;rodada;clube_id;posicao_id;status_id;pontuacao;preco_num;variacao_num;FC;FD;FF;FS;G;I;DS;CA;PE;A;SG;DD;FT;GS;CV;GC;ano;PP;DP;DE;PS;V;PC;posicao;clube;rodada_real;media_pre_rodada;perfil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcão;93879;1;286;1;0;11,5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;5.0;0.0;0.0;0.0;Goleiro;Juventude;1;0.0;Inesperado;;;;;;Média de pontuacao;Rótulos de Coluna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tinga;82628;1;356;2;0;14,5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Fortaleza;1;0.0;Inesperado;;;;;;Rótulos de Linha;Atlético-MG;Bahia;Botafogo;Bragantino;Ceará;Corinthians;Cruzeiro;Flamengo;Fluminense;Fortaleza;Grêmio;Internacional;Juventude;Mirassol;Palmeiras;Santos;São Paulo;Sport;Vasco;Vitória;(vazio);Total Geral;;;;;;;;;;;;;;;;;;;
William;89275;1;283;2;0;19,3;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Cruzeiro;1;0.0;Inesperado;;;;;;Atacante;17,56666667;16,18;15,56666667;16,5;15,66666667;18,5;18,52727273;20,67;21,425;20,45;16,24285714;15,42857143;17,8;13,26666667;18,8375;17,46666667;16,1125;14,55;17;16,625;;17,39122807;;;;;;;;;;;;;;;;;;;
Marllon;70666;1;354;3;0;9,5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Ceará;1;0.0;Inesperado;;;;;;Goleiro;12,8;;11,5;14,1;;;12,4;13,13333333;11,23333333;14,93333333;9,55;;12,3;13,65;13,83333333;11,5;13,3;15,4;15,9;13,6;;13,07631579;;;;;;;;;;;;;;;;;;;
Abner;122861;1;286;3;0;13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Juventude;1;0.0;Inesperado;;;;;;Lateral;16,3;14,1;15,88;16,1;12,9;14,35;13,95;15;16,84;12,75;13,9;13,7;14,83333333;14,82727273;10,95;14,6;15,4;13,65;16,45714286;11,8;;14,77236842;;;;;;;;;;;;;;;;;;;
Bruno Henrique;70944;1;285;4;0;9,8;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Internacional;1;0.0;Inesperado;;;;;;Meia;11,02;14,175;15,46666667;13,075;13,4;12,1;14,84285714;14,01428571;12,96;15,1;13,9;13,44444444;12,375;11,55;12,24444444;16,99166667;13,775;11,95;14,5;11,25;;13,84035088;;;;;;;;;;;;;;;;;;;
Breno Bidon;117910;1;264;4;0;12,2;0.0;0.0;6.0;1.0;1.0;4.0;0.0;0.0;4.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Corinthians;1;0.0;Inesperado;;;;;;Técnico;8,965;10,195;12,31;8,63;10,06;;9,756666667;11,148;11,665;14,07;9,77;10,27;8,53;8,82;9,638;11,45;9,8125;;10,65333333;;;10,20236842;;;;;;;;;;;;;;;;;;;
Barreal;126471;1;277;4;0;10,8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Santos;1;0.0;Inesperado;;;;;;Zagueiro;13,15;14,2;12,2;11,26666667;12,56666667;11,9;11,825;13,62;11,6;10,55;10,15;11,025;13;9,02;11,34;11,93333333;13,63076923;;9,7;16,1;;12,18026316;;;;;;;;;;;;;;;;;;;
Dudu;68920;1;282;5;0;13,9;0.0;0.0;2.0;0.0;0.0;4.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Atlético-MG;1;0.0;Inesperado;;;;;;(vazio);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gabriel Taliari;95131;1;286;5;0;18,6;0.0;0.0;3.0;0.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Juventude;1;0.0;Inesperado;;;;;;Total Geral;13,8215;14,25666667;14,513125;13,47875;13,44181818;15,12142857;14,59648649;15,08833333;14,70130435;14,1785;13,66882353;13,37666667;14,08866667;12,7162963;13,4121875;15,22407407;13,96142857;14,10833333;15,25407407;14,71428571;;14,23989035;;;;;;;;;;;;;;;;;;;
